Code,Company,Price,Change,Volume,Value,Captilisation
AFI,Australian Foundation Investment Company Limited,$8.180,-$0.010 / -0.12%,"301","$2,452.23","$10,107,411,338"
ANZ,ANZ Group Holdings Limited,$25.850,$0.140 / 0.54%,"12,533","$323,177.93","$77,637,031,315"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,"0","$0.00","$0"
MHJ,Michael Hill International Limited,$1.110,-$0.010 / -0.89%,"60,557","$67,721.65","$421,454,661"
WBC,Westpac Banking Corporation,$25.420,$0.020 / 0.08%,"4,026","$102,034.92","$88,998,665,981"
ALD,Ampol Limited,$29.580,$0.000 / 0.00%,"4","$118.32","$7,048,976,088"
AKL,Auckland Real Estate Trust,$0.930,$0.000 / 0.00%,"0","$0.00","$74,718,200"
VSL,Vulcan Steel Limited,$8.850,-$0.030 / -0.34%,"5,090","$45,171.19","$1,162,965,862"
VNT,Ventia Services Group Limited,$2.640,$0.000 / 0.00%,"0","$0.00","$2,258,520,000"
CRP,Chatham Rock Phosphate Limited,$0.290,-$0.005 / -1.69%,"18,767","$5,442.43","$24,745,493"
TCL,The City of London Investment Trust Plc,$8.020,-$0.080 / -0.99%,"16,254","$130,145.92","$3,826,140,441"
FCT,F&C Investment Trust PLC,$17.400,$0.000 / 0.00%,"1","$17.48","$9,020,366,294"
TEM,Templeton Emerging Markets Investment Trust Plc,$2.900,$0.000 / 0.00%,"7,043","$20,424.76","$3,369,244,865"
BIT,The Bankers Investment Trust Plc,$1.920,$0.010 / 0.52%,"14,774","$28,447.24","$2,484,562,437"
JPG,JPMorgan Global Growth & Income plc,$8.290,$0.000 / 0.00%,"51","$426.23","$2,658,620,301"
HFL,Henderson Far East Income Limited,$5.270,$0.000 / 0.00%,"6","$31.74","$829,016,132"
AFT,AFT Pharmaceuticals Limited,$3.790,$0.070 / 1.88%,"5,371","$20,318.65","$397,443,125"
AGG,Smartshares Global Aggregate Bond ETF,$1.146,$0.005 / 0.44%,"3,883","$4,464.98","$161,432,743"
AIA,Auckland International Airport Limited,$8.080,$0.040 / 0.50%,"161,843","$1,304,994.80","$11,900,393,252"
AIR,Air New Zealand Limited (NS),$0.760,-$0.005 / -0.65%,"469,478","$356,596.05","$2,560,006,900"
