Code,Company,Price,Change,Volume,Value,Captilisation
NZX,NZX Limited,$1.210,$0.000 / 0.00%,"13,559","$16,410.30","$380,798,326"
GMT,Goodman Property Trust (NS),$2.050,$0.000 / 0.00%,"50,338","$103,192.90","$2,876,671,758"
SDL,Solution Dynamics Limited,$2.270,$0.000 / 0.00%,"0","$0.00","$33,413,969"
VGL,Vista Group International Limited,$1.560,$0.000 / 0.00%,"238","$371.28","$363,779,665"
BPG,Black Pearl Group Limited,$0.510,$0.000 / 0.00%,"0","$0.00","$18,031,649"
VSL,Vulcan Steel Limited,$8.810,$0.000 / 0.00%,"0","$0.00","$1,157,709,519"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,"0","$0.00","$3,664,216"
NTL,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,"636,435","$1,909.30","$9,594,216"
TRA,Turners Automotive Group Limited,$3.280,$0.050 / 1.55%,"943","$3,093.04","$284,376,810"
NZA,NZ Automotive Investments Limited,$0.315,$0.000 / 0.00%,"18","$5.76","$14,349,668"
SPY,Smartpay Holdings Limited,$1.115,$0.015 / 1.36%,"470","$522.11","$265,687,734"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$1.430,$0.000 / 0.00%,"40,622","$58,088.80","$772,673,244"
MLNWF,Marlin Global Limited,$0.030,$0.000 / 0.00%,"0","$0.00","$1,515,081"
AIR,Air New Zealand Limited (NS),$0.755,-$0.005 / -0.66%,"53,022","$40,051.80","$2,543,164,750"
MNW,Manawa Energy Limited,$5.000,$0.020 / 0.40%,"12,258","$61,290.24","$1,564,865,000"
SCY,Smiths City Group Limited (in receivership),$0.140,$0.000 / 0.00%,"0","$0.00","$7,376,341"
RAK,Rakon Limited,$1.010,-$0.010 / -0.98%,"1,178","$1,189.86","$231,345,825"
SEK,Seeka Limited,$3.050,$0.040 / 1.33%,"409","$1,247.45","$128,064,260"
BIF,Booster Innovation Fund,$1.430,$0.000 / 0.00%,"117","$166.94","$13,219,545"
WIN,Winton Land Limited (NS),$1.600,-$0.030 / -1.84%,"2,960","$4,736.00","$474,581,978"
GTK,Gentrack Group Limited,$2.440,$0.000 / 0.00%,"183","$446.52","$246,998,875"
ARB,ArborGen Holdings Limited,$0.230,$0.000 / 0.00%,"0","$0.00","$115,637,579"
AGG,Smartshares Global Aggregate Bond ETF,$1.146,$0.000 / 0.00%,"72","$82.62","$161,432,743"
ALD,Ampol Limited,$29.580,$0.000 / 0.00%,"1","$29.56","$7,048,976,088"
WBC,Westpac Banking Corporation,$25.500,$0.110 / 0.43%,"45","$1,147.40","$89,278,756,197"
PEB,Pacific Edge Limited,$0.520,-$0.010 / -1.89%,"15,377","$8,141.77","$421,389,913"
VHP,Vital Healthcare Property Trust,$2.260,-$0.010 / -0.44%,"7,419","$16,767.12","$1,486,530,517"
TEM,Templeton Emerging Markets Investment Trust Plc,$2.990,$0.060 / 2.05%,"338","$1,010.62","$3,473,807,636"
NZC,Smartshares NZ Cash ETF,$2.980,$0.002 / 0.07%,"6,296","$18,762.08","$369,620,462"
HGH,Heartland Group Holdings Limited,$1.830,$0.020 / 1.10%,"12,787","$23,058.39","$1,290,738,140"
ESG,Smartshares Global Equities ESG ETF,$2.456,-$0.016 / -0.65%,"1,510,762","$3,715,113.59","$143,504,610"
WCO,WasteCo Group Limited,$0.085,$0.003 / 3.66%,"129,263","$10,987.37","$58,480,000"
SCT,Scott Technology Limited,$2.550,$0.000 / 0.00%,"75","$190.42","$205,234,932"
FPH,Fisher & Paykel Healthcare Corporation Limited,$23.300,-$0.080 / -0.34%,"1,234","$28,738.95","$13,494,962,106"
EUG,Smartshares Europe Equities ESG ETF,$2.712,$0.005 / 0.18%,"1,629","$4,416.49","$38,030,162"
USA,Smartshares US Equities ESG ETF,$2.781,-$0.014 / -0.50%,"918","$2,550.00","$45,794,076"
LIV,Smartshares Healthcare Innovation ETF,$2.762,$0.033 / 1.21%,"324","$897.01","$27,895,316"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,"0","$0.00","$0"
GSH,Good Spirits Hospitality Limited,$0.030,$0.000 / 0.00%,"1,293","$38.79","$1,732,034"
USV,Smartshares US Large Value ETF,$4.442,$0.000 / 0.00%,"135","$601.43","$86,100,068"
HFL,Henderson Far East Income Limited,$5.130,-$0.140 / -2.66%,"3,574","$18,334.62","$806,992,933"
NPH,Napier Port Holdings Limited,$2.900,$0.070 / 2.47%,"471","$1,365.20","$579,877,864"
GBF,Smartshares Global Bond ETF,$3.033,$0.000 / 0.00%,"86","$261.18","$282,462,131"
TSK,TASK Group Holdings Limited,$0.370,$0.000 / 0.00%,"65","$23.73","$131,286,703"
TCL,The City of London Investment Trust Plc,$7.990,-$0.030 / -0.37%,"133","$1,062.67","$3,811,828,195"
AOF,AoFrio Limited,$0.107,$0.000 / 0.00%,"7","$0.76","$46,208,272"
ASR,Smartshares Australian Resources ETF,$6.710,-$0.010 / -0.15%,"381","$2,556.32","$79,061,467"
BRMWG,Barramundi Limited,$0.002,$0.000 / 0.00%,"0","$0.00","$133,365"
JPG,JPMorgan Global Growth & Income plc,$8.240,-$0.050 / -0.60%,"329","$2,710.96","$2,642,585,197"
SKT,Sky Network Television Limited,$2.330,$0.000 / 0.00%,"126","$292.50","$339,185,535"
VNT,Ventia Services Group Limited,$2.640,$0.000 / 0.00%,"14","$37.66","$2,258,520,000"
CHI,Channel Infrastructure NZ Limited,$1.450,$0.010 / 0.69%,"3,608","$5,230.89","$543,253,820"
CCC,Cooks Coffee Company Limited,$0.365,$0.000 / 0.00%,"70","$25.20","$21,643,679"
MEL,Meridian Energy Limited (NS),$5.365,-$0.015 / -0.28%,"11,885","$63,590.21","$13,847,968,058"
AUS,Smartshares S&P/ASX 200 ETF,$3.065,$0.000 / 0.00%,"481","$1,474.25","$103,022,950"
SVR,Savor Limited,$0.395,-$0.005 / -1.25%,"378","$149.31","$26,380,054"
