Code,Company,Price,Change,Volume,Value,Captilisation
ACE,Ascension Capital Limited,$0.055,$0.000 / 0.00%,0,$0.00,"$1,053,186"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
AFI,Australian Foundation Investment Company Limited,$8.290,$0.080 / 0.97%,"1,555","$12,892.70","$10,243,330,073"
AFT,AFT Pharmaceuticals Limited,$3.650,-$0.060 / -1.62%,"5,148","$19,055.68","$382,761,849"
AGG,Smartshares Global Aggregate Bond ETF,$1.142,-$0.006 / -0.52%,"1,947","$2,225.58","$167,766,958"
AGL,Accordant Group Limited,$1.660,$0.000 / 0.00%,204,$338.64,"$56,121,700"
AIA,Auckland International Airport Limited,$8.605,$0.075 / 0.88%,"628,747","$5,398,210.42","$12,673,624,249"
AIR,Air New Zealand Limited (NS),$0.800,$0.000 / 0.00%,"464,927","$372,342.14","$2,694,744,106"
AKL,Auckland Real Estate Trust,$0.930,$0.000 / 0.00%,0,$0.00,"$74,718,200"
ALD,Ampol Limited,$31.550,$0.000 / 0.00%,0,$0.00,"$7,518,431,223"
ALF,Allied Farmers Limited,$0.760,$0.010 / 1.33%,"10,258","$7,795.94","$21,892,890"
ANZ,ANZ Group Holdings Limited,$27.460,-$0.690 / -2.45%,"11,099","$307,023.98","$82,472,451,834"
AOF,AoFrio Limited,$0.120,$0.000 / 0.00%,"213,072","$25,568.59","$51,822,361"
APA,Smartshares Asia Pacific ETF,$2.160,-$0.019 / -0.87%,"12,393","$26,877.20","$130,573,568"
APL,Asset Plus Limited,$0.255,$0.000 / 0.00%,"87,618","$22,342.61","$92,493,039"
ARB,ArborGen Holdings Limited,$0.205,$0.005 / 2.50%,"5,510","$1,104.00","$103,068,277"
ARG,Argosy Property Limited,$1.135,$0.000 / 0.00%,"1,914,848","$2,174,125.20","$961,031,621"
ARV,Arvida Group Limited,$1.110,-$0.020 / -1.77%,"802,145","$900,096.90","$803,171,061"
ASD,Smartshares Australian Dividend ETF,$1.741,$0.020 / 1.16%,"7,554","$13,109.02","$35,785,456"
ASF,Smartshares Australian Financials ETF,$8.165,-$0.242 / -2.88%,"16,373","$136,821.60","$25,437,796"
ASP,Smartshares Australian Property ETF,$1.452,$0.027 / 1.89%,"1,669","$2,424.53","$54,882,015"
ASR,Smartshares Australian Resources ETF,$6.895,-$0.004 / -0.06%,"3,318","$22,895.10","$82,792,630"
ATM,The a2 Milk Company Limited,$7.350,-$0.100 / -1.34%,"320,331","$2,377,242.65","$5,366,862,021"
AUS,Smartshares S&P/ASX 200 ETF,$3.188,-$0.042 / -1.30%,"8,638","$27,731.26","$103,650,513"
BFG,Burger Fuel Group Limited,$0.275,$0.005 / 1.85%,567,$155.94,"$13,842,637"
BGI,Blackwell Global Holdings Limited,$0.004,$0.000 / 0.00%,"1,227",$4.91,"$2,695,036"
BGP,Briscoe Group Limited,$4.830,$0.000 / 0.00%,369,"$1,778.50","$1,075,378,180"
BIF,Booster Innovation Fund,$1.451,$0.000 / 0.00%,54,$78.41,"$13,927,152"
BIT,The Bankers Investment Trust Plc,$2.020,-$0.020 / -0.98%,"24,551","$49,729.04","$2,598,792,858"
BLT,Blis Technologies Limited,$0.029,$0.000 / 0.00%,"112,104","$3,246.03","$36,940,246"
BOT,Smartshares Automation and Robotics ETF,$4.031,$0.021 / 0.52%,"9,891","$39,645.16","$49,504,272"
BPG,Black Pearl Group Limited,$0.400,$0.000 / 0.00%,"1,311",$524.23,"$14,142,470"
BRM,Barramundi Limited,$0.740,-$0.010 / -1.33%,"52,993","$39,222.42","$201,335,234"
BRMWG,Barramundi Limited,$0.003,$0.000 / 0.00%,"8,251",$8.25,"$200,047"
BRW,Bremworth Limited,$0.450,-$0.050 / -10.00%,"5,358","$2,475.47","$31,531,242"
CBD,Cannasouth Limited,$0.295,$0.010 / 3.51%,"6,244","$1,801.34","$43,627,865"
CCC,Cooks Coffee Company Limited,$0.350,$0.000 / 0.00%,38,$13.30,"$20,831,772"
CDI,CDL Investments New Zealand Limited,$0.750,-$0.020 / -2.60%,515,$386.25,"$216,605,773"
CEN,Contact Energy Limited,$7.670,-$0.050 / -0.65%,"345,946","$2,658,669.65","$6,007,584,994"
CHI,Channel Infrastructure NZ Limited,$1.470,$0.010 / 0.68%,"74,170","$108,393.35","$550,746,976"
CMO,The Colonial Motor Company Limited,$9.150,$0.150 / 1.67%,"2,854","$26,015.10","$299,155,883"
CNU,Chorus Limited (NS),$8.610,-$0.050 / -0.58%,"114,504","$990,794.08","$3,817,655,618"
CO2,Carbon Fund,$2.040,$0.000 / 0.00%,"4,145","$8,456.73","$91,873,012"
CRP,Chatham Rock Phosphate Limited,$0.200,$0.000 / 0.00%,"21,380","$4,216.53","$17,065,857"
CVT,Comvita Limited,$3.440,$0.030 / 0.88%,"30,973","$105,475.68","$240,434,486"
DGL,Delegat Group Limited,$9.850,$0.010 / 0.10%,"1,588","$15,706.75","$996,132,391"
DIV,Smartshares NZ Dividend ETF,$1.234,-$0.007 / -0.56%,"10,731","$13,254.77","$87,962,248"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
EBO,Ebos Group Limited,$44.110,-$0.390 / -0.88%,"269,623","$11,895,448.31","$8,409,182,406"
EMF,Smartshares Emerging Markets ETF,$1.315,-$0.003 / -0.23%,"48,924","$64,165.29","$137,824,039"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.170,$0.001 / 0.05%,"7,865","$16,909.76","$36,483,507"
ENS,Enprise Group Limited,$0.900,$0.000 / 0.00%,19,$17.10,"$15,631,525"
ERD,EROAD Limited,$0.860,$0.000 / 0.00%,"30,153","$25,988.86","$96,860,434"
ESG,Smartshares Global Equities ESG ETF,$2.660,$0.011 / 0.42%,"15,088","$40,093.64","$162,659,575"
EUF,Smartshares Europe ETF,$1.937,$0.010 / 0.52%,"65,686","$127,467.48","$200,859,222"
EUG,Smartshares Europe Equities ESG ETF,$2.838,$0.026 / 0.92%,457,"$1,295.12","$39,797,050"
EVO,Embark Education Group Limited,$0.570,$0.020 / 3.64%,"4,499","$2,564.43","$90,943,206"
FBU,Fletcher Building Limited,$5.080,$0.030 / 0.59%,"425,106","$2,149,870.24","$3,977,861,468"
FCT,F&C Investment Trust PLC,$18.680,$0.180 / 0.97%,"2,709","$50,604.14","$9,683,933,470"
FNZ,Smartshares NZ Top 50 ETF,$3.135,-$0.015 / -0.48%,"40,270","$126,504.94","$670,075,471"
FPH,Fisher & Paykel Healthcare Corporation Limited,$25.640,$0.040 / 0.16%,"149,479","$3,823,475.97","$14,850,821,918"
FRE,Freightways Limited,$9.400,-$0.100 / -1.05%,"80,812","$766,173.52","$1,667,854,765"
FSF,Fonterra Shareholders' Fund (NS),$3.150,$0.030 / 0.96%,"20,167","$63,311.93","$338,344,600"
FWL,Foley Wines Limited,$1.320,$0.000 / 0.00%,1,$1.33,"$86,771,715"
GBF,Smartshares Global Bond ETF,$3.041,$0.001 / 0.03%,"1,677","$5,100.96","$281,078,468"
GEN,General Capital Limited,$0.077,$0.001 / 1.32%,"2,122",$163.39,"$16,374,627"
GEO,Geo Limited,$0.045,$0.000 / 0.00%,"4,417",$198.77,"$8,240,654"
GFI,Greenfern Industries Limited,$0.089,$0.008 / 9.88%,"26,911","$2,256.46","$9,777,287"
GFL,Geneva Finance Limited,$0.430,$0.010 / 2.38%,"4,018","$1,727.74","$31,362,168"
GMT,Goodman Property Trust (NS),$2.105,$0.035 / 1.69%,"146,863","$308,059.71","$2,953,850,756"
GNE,Genesis Energy Limited (NS),$2.870,$0.020 / 0.70%,"72,928","$208,609.12","$3,034,606,764"
GSH,Good Spirits Hospitality Limited,$0.026,$0.000 / 0.00%,468,$12.16,"$1,501,096"
GTK,Gentrack Group Limited,$2.690,-$0.010 / -0.37%,"8,095","$21,775.55","$272,306,136"
GXH,Green Cross Health Limited,$1.360,$0.050 / 3.82%,"37,798","$51,403.77","$194,866,779"
HFL,Henderson Far East Income Limited,$5.400,$0.000 / 0.00%,11,$59.95,"$857,431,246"
HGH,Heartland Group Holdings Limited,$1.830,$0.020 / 1.10%,"138,262","$251,624.40","$1,290,738,140"
HLG,Hallenstein Glasson Holdings Limited,$5.350,$0.020 / 0.38%,596,"$3,200.12","$319,122,476"
IFT,Infratil Limited,$8.800,-$0.050 / -0.56%,"305,547","$2,699,095.22","$6,371,055,522"
IKE,ikeGPS Group Limited,$0.970,$0.000 / 0.00%,"4,033,204","$3,631,712.00","$154,939,793"
IPL,Investore Property Limited (NS),$1.530,$0.010 / 0.66%,"456,258","$689,988.09","$562,279,032"
JLG,Just Life Group Limited,$0.450,$0.020 / 4.65%,847,$379.75,"$44,386,022"
JPG,JPMorgan Global Growth & Income plc,$9.250,$0.200 / 2.21%,440,"$4,071.99","$2,968,113,055"
JPN,Smartshares Japan Equities ESG ETF,$2.038,$0.001 / 0.05%,344,$701.52,"$24,598,334"
KFL,Kingfish Limited,$1.430,-$0.010 / -0.69%,"129,863","$187,070.41","$468,634,359"
KMD,KMD Brands Limited,$1.100,$0.010 / 0.92%,"232,556","$259,011.88","$782,482,494"
KPG,Kiwi Property Group Limited,$0.955,$0.000 / 0.00%,"483,245","$459,503.97","$1,500,468,828"
LIC,Livestock Improvement Corporation Limited (NS),$1.250,$0.000 / 0.00%,0,$0.00,"$172,207,906"
LIV,Smartshares Healthcare Innovation ETF,$2.783,-$0.011 / -0.39%,"2,597","$7,239.56","$27,968,259"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$2.220,-$0.030 / -1.33%,251,$558.27,"$234,162,809"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$2.170,$0.000 / 0.00%,0,$0.00,"$114,444,808"
MCY,Mercury NZ Limited (NS),$6.360,$0.030 / 0.47%,"519,359","$3,290,100.13","$8,815,010,638"
MDZ,Smartshares NZ Mid Cap ETF,$5.661,-$0.034 / -0.60%,"20,858","$118,253.72","$171,192,456"
MEE,Me Today Limited,$0.012,$0.000 / 0.00%,"8,843",$106.13,"$15,336,160"
MEL,Meridian Energy Limited (NS),$5.350,-$0.010 / -0.19%,"558,996","$2,996,626.62","$13,809,250,533"
MFB,My Food Bag Group Limited,$0.380,$0.000 / 0.00%,"75,489","$28,668.92","$92,126,259"
MFT,Mainfreight Limited,$76.220,$0.710 / 0.94%,"53,644","$4,078,125.92","$7,675,243,329"
MHJ,Michael Hill International Limited,$1.100,$0.010 / 0.92%,"58,622","$64,289.35","$417,657,772"
MHM,MHM Automation Limited,$0.880,-$0.010 / -1.12%,"2,680","$2,358.40","$58,404,779"
MLN,Marlin Global Limited,$0.980,-$0.010 / -1.01%,"31,521","$31,181.70","$199,528,751"
MLNWF,Marlin Global Limited,$0.037,$0.000 / 0.00%,"10,959",$400.44,"$1,868,600"
MMH,Marsden Maritime Holdings Limited,$5.520,$0.000 / 0.00%,90,$497.74,"$227,979,594"
MNW,Manawa Energy Limited,$5.210,-$0.040 / -0.76%,"176,187","$914,771.79","$1,630,589,330"
MOV,Move Logistics Group Limited,$1.100,$0.000 / 0.00%,"16,294","$17,800.69","$128,023,642"
MPG,Metro Performance Glass Limited,$0.180,$0.000 / 0.00%,"65,960","$11,975.72","$33,368,055"
MWE,Marlborough Wine Estates Group Limited,$0.163,$0.000 / 0.00%,0,$0.00,"$48,403,521"
MZY,Smartshares Australian Mid Cap ETF,$9.733,$0.075 / 0.78%,"1,885","$18,348.98","$168,208,373"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.156,-$0.003 / -0.14%,914,"$1,969.29","$265,406,677"
NPF,Smartshares NZ Property ETF,$1.181,-$0.001 / -0.08%,"395,240","$467,545.72","$143,062,499"
NPH,Napier Port Holdings Limited,$2.840,$0.080 / 2.90%,"29,644","$84,438.68","$567,880,391"
NTL,New Talisman Gold Mines Limited,$0.023,$0.001 / 4.55%,"35,692",$820.59,"$7,355,567"
NWF,NZ Windfarms Limited,$0.143,-$0.001 / -0.69%,"161,066","$23,015.30","$41,193,093"
NZA,NZ Automotive Investments Limited,$0.320,$0.000 / 0.00%,78,$24.94,"$14,577,440"
NZB,Smartshares NZ Bond ETF,$2.866,$0.001 / 0.03%,"3,536,175","$10,139,211.10","$343,281,103"
NZC,Smartshares NZ Cash ETF,$2.989,-$0.002 / -0.07%,"10,330","$30,878.06","$381,317,825"
NZG,Smartshares S&P/NZX 50 ETF,$2.515,-$0.010 / -0.40%,"15,368","$38,683.03","$540,473,103"
NZK,New Zealand King Salmon Investments Limited,$0.235,$0.005 / 2.17%,"241,011","$55,528.64","$127,241,857"
NZL,New Zealand Rural Land Company Limited (NS),$1.060,$0.010 / 0.95%,"17,401","$18,434.93","$122,537,664"
NZM,NZME Limited,$1.190,$0.000 / 0.00%,267,$317.45,"$218,857,201"
NZO,New Zealand Oil & Gas Limited,$0.425,$0.000 / 0.00%,"1,529",$650.25,"$95,179,106"
NZX,NZX Limited,$1.300,$0.010 / 0.78%,"14,466","$18,592.84","$409,122,168"
OCA,Oceania Healthcare Limited,$0.850,-$0.020 / -2.30%,"318,424","$270,809.63","$612,471,907"
OZY,Smartshares Australian Top 20 ETF,$4.593,-$0.071 / -1.52%,"39,096","$181,594.98","$176,055,509"
PCT,Precinct Properties New Zealand Limited (NS),$1.290,$0.010 / 0.78%,"1,066,555","$1,364,521.94","$2,045,757,295"
PEB,Pacific Edge Limited,$0.475,-$0.010 / -2.06%,"138,046","$66,357.32","$384,923,479"
PFI,Property for Industry Limited,$2.320,$0.015 / 0.65%,"357,819","$824,960.09","$1,164,757,216"
PGW,PGG Wrightson Limited,$4.400,-$0.020 / -0.45%,"13,293","$58,516.45","$332,129,965"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,"1,000,000","$1,000.00","$21,284,975"
PLP,Private Land and Property Fund,$1.320,$0.040 / 3.13%,245,$323.40,"$126,923,838"
POT,Port of Tauranga Limited,$6.240,-$0.040 / -0.64%,"130,119","$807,286.42","$4,245,470,686"
PPH,Pushpay Holdings Limited,$1.310,$0.010 / 0.77%,"32,684,064","$42,654,039.25","$1,495,725,930"
PYS,PaySauce Limited,$0.300,$0.000 / 0.00%,46,$13.53,"$41,686,657"
RAD,Radius Residential Care Limited,$0.310,-$0.010 / -3.13%,"56,501","$17,580.32","$88,303,080"
RAK,Rakon Limited,$1.050,-$0.020 / -1.87%,"73,043","$76,895.84","$240,508,036"
RBD,Restaurant Brands New Zealand Limited,$6.350,-$0.080 / -1.24%,"3,611","$23,062.57","$792,216,621"
RUA,Rua Bioscience Limited,$0.176,-$0.002 / -1.12%,"5,946","$1,042.63","$27,811,391"
RYM,Ryman Healthcare Limited,$6.400,$0.000 / 0.00%,0,$0.00,"$3,229,896,051"
SAN,Sanford Limited (NS),$4.100,-$0.060 / -1.44%,"5,361","$22,231.98","$383,375,162"
SCL,Scales Corporation Limited,$3.400,-$0.180 / -5.03%,"26,401","$91,733.41","$485,254,351"
SCT,Scott Technology Limited,$2.750,-$0.030 / -1.08%,"29,207","$80,775.10","$221,331,789"
SDL,Solution Dynamics Limited,$2.190,$0.000 / 0.00%,0,$0.00,"$32,236,384"
SEK,Seeka Limited,$3.010,-$0.070 / -2.27%,"11,409","$34,757.58","$126,384,729"
SKC,SkyCity Entertainment Group Limited (NS),$2.580,$0.130 / 5.31%,"723,715","$1,850,806.38","$1,961,329,439"
SKL,Skellerup Holdings Limited,$5.440,$0.060 / 1.12%,"14,811","$79,916.63","$1,066,629,406"
SKO,Serko Limited,$2.680,-$0.170 / -5.96%,"101,535","$281,966.84","$322,787,302"
