Code,Company,Price,Change,Volume,Value,Captilisation
ACE,Ascension Capital Limited,$0.055,$0.000 / 0.00%,0,$0.00,"$1,053,186"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
AFI,Australian Foundation Investment Company Limited,$8.200,$0.000 / 0.00%,0,$0.00,"$10,170,858,643"
AFT,AFT Pharmaceuticals Limited,$3.330,$0.000 / 0.00%,0,$0.00,"$349,204,646"
AGG,Smartshares Global Aggregate Bond ETF,$1.129,$0.000 / 0.00%,0,$0.00,"$172,710,207"
AGL,Accordant Group Limited,$1.680,$0.000 / 0.00%,0,$0.00,"$56,797,865"
AIA,Auckland International Airport Limited,$8.740,$0.000 / 0.00%,"3,180","$27,793.20","$12,872,455,077"
AIR,Air New Zealand Limited (NS),$0.790,$0.000 / 0.00%,0,$0.00,"$2,661,059,804"
AKL,Auckland Real Estate Trust,$0.930,$0.000 / 0.00%,0,$0.00,"$74,718,200"
ALD,Ampol Limited,$35.440,$0.000 / 0.00%,0,$0.00,"$8,445,426,389"
ALF,Allied Farmers Limited,$0.750,$0.000 / 0.00%,0,$0.00,"$21,604,826"
ANZ,ANZ Group Holdings Limited,$27.010,$0.000 / 0.00%,0,$0.00,"$81,120,936,782"
AOF,AoFrio Limited,$0.118,$0.000 / 0.00%,0,$0.00,"$50,958,655"
APA,Smartshares Asia Pacific ETF,$2.155,$0.000 / 0.00%,0,$0.00,"$131,154,865"
APL,Asset Plus Limited,$0.270,$0.000 / 0.00%,0,$0.00,"$97,933,806"
ARB,ArborGen Holdings Limited,$0.191,$0.000 / 0.00%,0,$0.00,"$96,029,468"
ARG,Argosy Property Limited,$1.115,$0.000 / 0.00%,0,$0.00,"$944,097,143"
ARV,Arvida Group Limited,$1.010,$0.000 / 0.00%,0,$0.00,"$730,813,307"
ASD,Smartshares Australian Dividend ETF,$1.718,$0.000 / 0.00%,0,$0.00,"$35,312,701"
ASF,Smartshares Australian Financials ETF,$7.982,$0.000 / 0.00%,0,$0.00,"$24,668,116"
ASP,Smartshares Australian Property ETF,$1.416,$0.000 / 0.00%,0,$0.00,"$53,521,304"
ASR,Smartshares Australian Resources ETF,$6.521,$0.000 / 0.00%,0,$0.00,"$79,769,000"
ATM,The a2 Milk Company Limited,$7.230,$0.000 / 0.00%,0,$0.00,"$5,256,342,540"
AUS,Smartshares S&P/ASX 200 ETF,$3.135,$0.000 / 0.00%,0,$0.00,"$103,494,840"
BFG,Burger Fuel Group Limited,$0.275,$0.000 / 0.00%,0,$0.00,"$13,842,637"
BGI,Blackwell Global Holdings Limited,$0.004,$0.000 / 0.00%,0,$0.00,"$2,695,036"
BGP,Briscoe Group Limited,$4.750,$0.000 / 0.00%,0,$0.00,"$1,057,566,534"
BIF,Booster Innovation Fund,$1.465,$0.000 / 0.00%,0,$0.00,"$14,061,529"
BIT,The Bankers Investment Trust Plc,$2.020,$0.000 / 0.00%,0,$0.00,"$2,590,915,151"
BLT,Blis Technologies Limited,$0.029,$0.000 / 0.00%,0,$0.00,"$36,940,246"
BOT,Smartshares Automation and Robotics ETF,$4.048,$0.000 / 0.00%,0,$0.00,"$49,713,047"
BPG,Black Pearl Group Limited,$0.400,$0.000 / 0.00%,0,$0.00,"$14,142,470"
BRM,Barramundi Limited,$0.760,$0.000 / 0.00%,0,$0.00,"$206,776,727"
BRMWG,Barramundi Limited,$0.003,$0.000 / 0.00%,0,$0.00,"$200,047"
BRW,Bremworth Limited,$0.450,$0.000 / 0.00%,0,$0.00,"$31,531,242"
CBD,Cannasouth Limited,$0.300,$0.000 / 0.00%,0,$0.00,"$44,367,321"
CCC,Cooks Coffee Company Limited,$0.340,$0.000 / 0.00%,0,$0.00,"$20,236,578"
CDI,CDL Investments New Zealand Limited,$0.765,$0.000 / 0.00%,0,$0.00,"$220,937,888"
CEN,Contact Energy Limited,$7.660,$0.000 / 0.00%,0,$0.00,"$5,999,752,419"
CHI,Channel Infrastructure NZ Limited,$1.450,$0.000 / 0.00%,0,$0.00,"$543,253,820"
CMO,The Colonial Motor Company Limited,$9.110,$0.000 / 0.00%,0,$0.00,"$297,848,098"
CNU,Chorus Limited (NS),$8.300,$0.000 / 0.00%,0,$0.00,"$3,676,038,792"
CO2,Carbon Fund,$1.930,$0.000 / 0.00%,0,$0.00,"$86,929,495"
CRP,Chatham Rock Phosphate Limited,$0.230,$0.000 / 0.00%,0,$0.00,"$19,625,736"
CVT,Comvita Limited,$3.370,$0.000 / 0.00%,0,$0.00,"$235,541,924"
DGL,Delegat Group Limited,$9.200,$0.000 / 0.00%,0,$0.00,"$930,397,766"
DIV,Smartshares NZ Dividend ETF,$1.210,$0.000 / 0.00%,0,$0.00,"$85,948,975"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
EBO,Ebos Group Limited,$44.370,$0.000 / 0.00%,"2,687","$119,222.19","$8,458,913,947"
EMF,Smartshares Emerging Markets ETF,$1.290,$0.000 / 0.00%,0,$0.00,"$135,713,360"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.137,$0.000 / 0.00%,0,$0.00,"$35,864,579"
ENS,Enprise Group Limited,$0.900,$0.000 / 0.00%,0,$0.00,"$15,631,525"
ERD,EROAD Limited,$0.790,$0.000 / 0.00%,0,$0.00,"$88,976,445"
ESG,Smartshares Global Equities ESG ETF,$2.649,$0.000 / 0.00%,"1,515,222","$4,005,943.92","$161,986,922"
EUF,Smartshares Europe ETF,$1.978,$0.000 / 0.00%,0,$0.00,"$203,914,069"
EUG,Smartshares Europe Equities ESG ETF,$2.855,$0.000 / 0.00%,0,$0.00,"$40,092,539"
EVO,Embark Education Group Limited,$0.540,$0.000 / 0.00%,0,$0.00,"$86,156,721"
FBU,Fletcher Building Limited,$4.750,$0.000 / 0.00%,0,$0.00,"$3,719,457,081"
FCT,F&C Investment Trust PLC,$18.410,$0.000 / 0.00%,0,$0.00,"$9,543,962,269"
FNZ,Smartshares NZ Top 50 ETF,$3.081,$0.000 / 0.00%,0,$0.00,"$658,841,601"
FPH,Fisher & Paykel Healthcare Corporation Limited,$25.980,$0.000 / 0.00%,"1,072","$27,850.56","$15,047,751,694"
FRW,Freightways Group Limited,$9.600,$0.000 / 0.00%,0,$0.00,"$1,703,341,037"
FSF,Fonterra Shareholders' Fund (NS),$3.100,$0.000 / 0.00%,0,$0.00,"$332,974,050"
FWL,Foley Wines Limited,$1.370,$0.000 / 0.00%,0,$0.00,"$90,058,523"
GBF,Smartshares Global Bond ETF,$3.007,$0.000 / 0.00%,0,$0.00,"$278,296,701"
GEN,General Capital Limited,$0.083,$0.000 / 0.00%,0,$0.00,"$30,176,723"
GEO,Geo Limited,$0.044,$0.000 / 0.00%,0,$0.00,"$8,057,528"
GFI,Greenfern Industries Limited,$0.085,$0.000 / 0.00%,0,$0.00,"$9,337,858"
GFL,Geneva Finance Limited,$0.440,$0.000 / 0.00%,0,$0.00,"$32,091,521"
GMT,Goodman Property Trust (NS),$2.150,$0.000 / 0.00%,0,$0.00,"$3,016,997,209"
GNE,Genesis Energy Limited (NS),$2.900,$0.000 / 0.00%,0,$0.00,"$3,066,327,392"
GSH,Good Spirits Hospitality Limited,$0.025,$0.000 / 0.00%,0,$0.00,"$1,443,361"
GTK,Gentrack Group Limited,$2.930,$0.000 / 0.00%,0,$0.00,"$296,601,108"
GXH,Green Cross Health Limited,$1.350,$0.000 / 0.00%,0,$0.00,"$193,433,935"
HFL,Henderson Far East Income Limited,$5.350,$0.000 / 0.00%,0,$0.00,"$850,027,067"
HGH,Heartland Group Holdings Limited,$1.810,$0.000 / 0.00%,0,$0.00,"$1,276,631,712"
HLG,Hallenstein Glasson Holdings Limited,$5.450,$0.000 / 0.00%,0,$0.00,"$325,087,382"
IFT,Infratil Limited,$8.800,$0.000 / 0.00%,0,$0.00,"$6,371,055,522"
IKE,ikeGPS Group Limited,$0.960,$0.000 / 0.00%,0,$0.00,"$153,342,475"
IPL,Investore Property Limited (NS),$1.470,$0.000 / 0.00%,0,$0.00,"$540,228,873"
JLG,Just Life Group Limited,$0.400,$0.000 / 0.00%,0,$0.00,"$39,454,242"
JPG,JPMorgan Global Growth & Income plc,$9.040,$0.000 / 0.00%,0,$0.00,"$2,903,289,546"
JPN,Smartshares Japan Equities ESG ETF,$2.031,$0.000 / 0.00%,0,$0.00,"$24,412,295"
KFL,Kingfish Limited,$1.430,$0.000 / 0.00%,0,$0.00,"$468,634,359"
KMD,KMD Brands Limited,$1.130,$0.000 / 0.00%,0,$0.00,"$803,822,926"
KPG,Kiwi Property Group Limited,$0.925,$0.000 / 0.00%,0,$0.00,"$1,453,333,682"
LIC,Livestock Improvement Corporation Limited (NS),$1.250,$0.000 / 0.00%,0,$0.00,"$172,207,906"
LIV,Smartshares Healthcare Innovation ETF,$2.768,$0.000 / 0.00%,0,$0.00,"$27,734,474"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$2.230,$0.000 / 0.00%,0,$0.00,"$235,217,597"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$2.170,$0.000 / 0.00%,0,$0.00,"$114,444,808"
MCY,Mercury NZ Limited (NS),$6.270,$0.000 / 0.00%,"7,106","$44,554.62","$8,690,269,922"
MDZ,Smartshares NZ Mid Cap ETF,$5.592,$0.000 / 0.00%,0,$0.00,"$167,987,449"
MEE,Me Today Limited,$0.014,$0.000 / 0.00%,0,$0.00,"$17,892,186"
MEL,Meridian Energy Limited (NS),$5.310,$0.000 / 0.00%,0,$0.00,"$13,706,003,800"
MFB,My Food Bag Group Limited,$0.255,$0.000 / 0.00%,0,$0.00,"$61,821,569"
MFT,Mainfreight Limited,$72.850,$0.000 / 0.00%,0,$0.00,"$7,335,889,222"
MHJ,Michael Hill International Limited,$1.160,$0.000 / 0.00%,0,$0.00,"$440,439,105"
MHM,MHM Automation Limited,$0.900,$0.000 / 0.00%,0,$0.00,"$59,732,160"
MLN,Marlin Global Limited,$0.940,$0.000 / 0.00%,0,$0.00,"$191,384,720"
MLNWF,Marlin Global Limited,$0.019,$0.000 / 0.00%,0,$0.00,"$959,551"
MMH,Marsden Maritime Holdings Limited,$5.600,$0.000 / 0.00%,0,$0.00,"$231,283,646"
MNW,Manawa Energy Limited,$5.060,$0.000 / 0.00%,0,$0.00,"$1,583,643,380"
MOV,Move Logistics Group Limited,$1.010,$0.000 / 0.00%,0,$0.00,"$117,548,980"
MPG,Metro Performance Glass Limited,$0.185,$0.000 / 0.00%,0,$0.00,"$34,294,946"
MWE,Marlborough Wine Estates Group Limited,$0.160,$0.000 / 0.00%,0,$0.00,"$47,512,658"
MZY,Smartshares Australian Mid Cap ETF,$9.506,$0.000 / 0.00%,0,$0.00,"$164,285,297"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.125,$0.000 / 0.00%,0,$0.00,"$251,815,532"
NPF,Smartshares NZ Property ETF,$1.177,$0.000 / 0.00%,0,$0.00,"$146,108,952"
NPH,Napier Port Holdings Limited,$2.610,$0.000 / 0.00%,0,$0.00,"$521,890,077"
NTL,New Talisman Gold Mines Limited,$0.018,$0.000 / 0.00%,0,$0.00,"$5,756,530"
NWF,NZ Windfarms Limited,$0.128,$0.000 / 0.00%,0,$0.00,"$36,872,139"
NZA,NZ Automotive Investments Limited,$0.300,$0.000 / 0.00%,0,$0.00,"$13,666,350"
NZB,Smartshares NZ Bond ETF,$2.838,$0.000 / 0.00%,0,$0.00,"$349,633,305"
NZC,Smartshares NZ Cash ETF,$2.985,$0.000 / 0.00%,0,$0.00,"$383,523,880"
NZG,Smartshares S&P/NZX 50 ETF,$2.482,$0.000 / 0.00%,0,$0.00,"$533,381,408"
NZK,New Zealand King Salmon Investments Limited,$0.225,$0.000 / 0.00%,0,$0.00,"$121,827,310"
NZL,New Zealand Rural Land Company Limited (NS),$1.060,$0.000 / 0.00%,0,$0.00,"$122,537,664"
NZM,NZME Limited,$1.170,$0.000 / 0.00%,0,$0.00,"$215,178,928"
NZO,New Zealand Oil & Gas Limited,$0.410,$0.000 / 0.00%,0,$0.00,"$91,819,844"
NZX,NZX Limited,$1.189,$0.000 / 0.00%,0,$0.00,"$374,189,429"
OCA,Oceania Healthcare Limited,$0.780,$0.000 / 0.00%,0,$0.00,"$562,033,044"
OZY,Smartshares Australian Top 20 ETF,$4.520,$0.000 / 0.00%,0,$0.00,"$173,257,327"
PCT,Precinct Properties New Zealand Limited (NS),$1.330,$0.000 / 0.00%,0,$0.00,"$2,109,191,629"
PEB,Pacific Edge Limited,$0.470,$0.000 / 0.00%,0,$0.00,"$380,871,652"
PFI,Property for Industry Limited,$2.340,$0.000 / 0.00%,0,$0.00,"$1,174,982,592"
PGW,PGG Wrightson Limited,$4.210,$0.000 / 0.00%,0,$0.00,"$317,787,989"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$21,284,975"
PLP,Private Land and Property Fund,$1.270,$0.000 / 0.00%,0,$0.00,"$122,331,378"
POT,Port of Tauranga Limited,$6.210,$0.000 / 0.00%,0,$0.00,"$4,225,059,769"
PPH,Pushpay Holdings Limited,$1.270,$0.000 / 0.00%,0,$0.00,"$1,450,054,909"
PYS,PaySauce Limited,$0.255,$0.000 / 0.00%,0,$0.00,"$35,433,658"
RAD,Radius Residential Care Limited,$0.295,$0.000 / 0.00%,0,$0.00,"$84,030,350"
RAK,Rakon Limited,$0.990,$0.000 / 0.00%,0,$0.00,"$226,764,719"
RBD,Restaurant Brands New Zealand Limited,$6.050,$0.000 / 0.00%,0,$0.00,"$754,789,064"
RUA,Rua Bioscience Limited,$0.172,$0.000 / 0.00%,0,$0.00,"$27,179,314"
RYM,Ryman Healthcare Limited,$5.260,$0.000 / 0.00%,0,$0.00,"$3,237,461,625"
SAN,Sanford Limited (NS),$4.050,$0.000 / 0.00%,0,$0.00,"$378,699,855"
SCL,Scales Corporation Limited,$3.450,$0.000 / 0.00%,0,$0.00,"$492,390,445"
SCT,Scott Technology Limited,$2.750,$0.000 / 0.00%,0,$0.00,"$221,331,789"
SDL,Solution Dynamics Limited,$2.210,$0.000 / 0.00%,0,$0.00,"$32,530,780"
SEK,Seeka Limited,$3.050,$0.000 / 0.00%,0,$0.00,"$128,064,260"
SKC,SkyCity Entertainment Group Limited (NS),$2.600,$0.000 / 0.00%,0,$0.00,"$1,976,533,543"
SKL,Skellerup Holdings Limited,$5.210,$0.000 / 0.00%,0,$0.00,"$1,021,532,942"
SKO,Serko Limited,$2.370,$0.000 / 0.00%,0,$0.00,"$285,449,965"
SKT,Sky Network Television Limited,$2.530,$0.000 / 0.00%,0,$0.00,"$368,300,173"
SML,Synlait Milk Limited (NS),$3.330,$0.000 / 0.00%,0,$0.00,"$727,876,931"
SNC,Southern Charter Financial Group Limited,$0.006,$0.000 / 0.00%,0,$0.00,"$3,089,367"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$1.390,$0.000 / 0.00%,0,$0.00,"$751,060,007"
SPK,Spark New Zealand Limited,$5.000,$0.000 / 0.00%,"11,007","$55,035.00","$9,365,990,780"
SPN,South Port New Zealand Limited,$8.230,$0.000 / 0.00%,0,$0.00,"$215,913,211"
SPY,Smartpay Holdings Limited,$1.340,$0.000 / 0.00%,0,$0.00,"$319,301,850"
STU,Steel & Tube Holdings Limited,$1.270,$0.000 / 0.00%,0,$0.00,"$211,902,885"
SUM,Summerset Group Holdings Limited,$9.200,$0.000 / 0.00%,0,$0.00,"$2,135,475,425"
SVR,Savor Limited,$0.405,$0.000 / 0.00%,0,$0.00,"$30,228,303"
